zone	region	ID
"Vallée du Fleuve Sénégal"	"St-Louis"	1
"Vallée du Fleuve Sénégal"	"St-Louis"	2
"Vallée du Fleuve Sénégal"	"St-Louis"	3
"Vallée du Fleuve Sénégal"	"St-Louis"	4
"Vallée du Fleuve Sénégal"	"St-Louis"	5
"Vallée du Fleuve Sénégal"	"St-Louis"	6
"Vallée du Fleuve Sénégal"	"St-Louis"	7
"Vallée du Fleuve Sénégal"	"St-Louis"	8
"Vallée du Fleuve Sénégal"	"St-Louis"	9
"Vallée du Fleuve Sénégal"	"St-Louis"	10
"Vallée du Fleuve Sénégal"	"St-Louis"	11
"Vallée du Fleuve Sénégal"	"St-Louis"	12
"Vallée du Fleuve Sénégal"	"St-Louis"	13
"Vallée du Fleuve Sénégal"	"St-Louis"	14
"Casamance"	"Kolda"	15
"Casamance"	"Kolda"	16
"Casamance"	"Kolda"	17
"Casamance"	"Kolda"	18
"Casamance"	"Kolda"	19
"Casamance"	"Kolda"	20
"Casamance"	"Kolda"	21
"Casamance"	"Kolda"	22
"Vallée du Fleuve Sénégal"	"St-Louis"	23
"Vallée du Fleuve Sénégal"	"St-Louis"	24
"Vallée du Fleuve Sénégal"	"St-Louis"	25
"Vallée du Fleuve Sénégal"	"St-Louis"	26
"Vallée du Fleuve Sénégal"	"St-Louis"	27
"Vallée du Fleuve Sénégal"	"St-Louis"	28
"Vallée du Fleuve Sénégal"	"St-Louis"	29
"Vallée du Fleuve Sénégal"	"St-Louis"	30
"Vallée du Fleuve Sénégal"	"St-Louis"	31
"Vallée du Fleuve Sénégal"	"St-Louis"	32
"Vallée du Fleuve Sénégal"	"St-Louis"	33
"Vallée du Fleuve Sénégal"	"St-Louis"	34
"Vallée du Fleuve Sénégal"	"St-Louis"	35
"Vallée du Fleuve Sénégal"	"St-Louis"	36
"Vallée du Fleuve Sénégal"	"St-Louis"	37
"Vallée du Fleuve Sénégal"	"St-Louis"	38
"Vallée du Fleuve Sénégal"	"St-Louis"	39
"Vallée du Fleuve Sénégal"	"St-Louis"	40
"Vallée du Fleuve Sénégal"	"St-Louis"	41
"Vallée du Fleuve Sénégal"	"St-Louis"	42
"Vallée du Fleuve Sénégal"	"St-Louis"	43
"Vallée du Fleuve Sénégal"	"St-Louis"	44
"Vallée du Fleuve Sénégal"	"St-Louis"	45
"Vallée du Fleuve Sénégal"	"St-Louis"	46
"Vallée du Fleuve Sénégal"	"St-Louis"	47
"Vallée du Fleuve Sénégal"	"St-Louis"	48
"Vallée du Fleuve Sénégal"	"St-Louis"	49
"Vallée du Fleuve Sénégal"	"St-Louis"	50
"Vallée du Fleuve Sénégal"	"St-Louis"	51
"Vallée du Fleuve Sénégal"	"St-Louis"	52
"Sénégal oriental"	"Tambacounda"	53
"Sénégal oriental"	"Tambacounda"	54
"Sénégal oriental"	"Tambacounda"	55
"Sénégal oriental"	"Tambacounda"	56
"Sénégal oriental"	"Tambacounda"	57
"Sénégal oriental"	"Tambacounda"	58
"Sénégal oriental"	"Tambacounda"	59
"Sénégal oriental"	"Tambacounda"	60
"Sénégal oriental"	"Tambacounda"	61
"Sénégal oriental"	"Tambacounda"	62
"Casamance"	"Kolda"	63
"Casamance"	"Kolda"	64
"Casamance"	"Kolda"	65
"Casamance"	"Kolda"	66
"Casamance"	"Kolda"	67
"Casamance"	"Kolda"	68
"Casamance"	"Kolda"	69
"Casamance"	"Kolda"	70
"Casamance"	"Kolda"	71
"Casamance"	"Kolda"	72
"Casamance"	"Kolda"	73
"Casamance"	"Kolda"	74
"Casamance"	"Kolda"	75
"Casamance"	"Kolda"	76
"Casamance"	"Kolda"	77
"Casamance"	"Kolda"	78
"Casamance"	"Kolda"	79
"Casamance"	"Kolda"	80
"Casamance"	"Kolda"	81
"Casamance"	"Kolda"	82
"Casamance"	"Kolda"	83
"Casamance"	"Kolda"	84
"Casamance"	"Kolda"	85
"Casamance"	"Kolda"	86
"Casamance"	"Kolda"	87
"Casamance"	"Kolda"	88
"Casamance"	"Kolda"	89
"Casamance"	"Kolda"	90
"Casamance"	"Kolda"	91
"Niayes"	"Louga"	92
"Niayes"	"Louga"	93
"Niayes"	"Louga"	94
"Niayes"	"Louga"	95
"Niayes"	"Louga"	96
"Niayes"	"Louga"	97
"Niayes"	"Louga"	98
"Niayes"	"Louga"	99
"Niayes"	"Louga"	100
"Niayes"	"Louga"	101
"Niayes"	"Louga"	102
"Niayes"	"Louga"	103
"Niayes"	"Louga"	104
"Niayes"	"Louga"	105
"Niayes"	"Louga"	106
"Niayes"	"Louga"	107
"Niayes"	"Louga"	108
"Niayes"	"Louga"	109
"Niayes"	"Louga"	110
"Niayes"	"Louga"	111
"Niayes"	"Louga"	112
"Niayes"	"Louga"	113
"Niayes"	"Louga"	114
"Niayes"	"Louga"	115
"Niayes"	"Louga"	116
"Niayes"	"Louga"	117
"Niayes"	"Louga"	118
"Niayes"	"Louga"	119
"Niayes"	"Louga"	120
"Niayes"	"Louga"	121
"Niayes"	"Louga"	122
"Niayes"	"Louga"	123
"Niayes"	"Louga"	124
"Niayes"	"Louga"	125
"Niayes"	"Louga"	126
"Niayes"	"Louga"	127
"Casamance"	"Sedhiou"	128
"Casamance"	"Sedhiou"	129
"Casamance"	"Sedhiou"	130
"Casamance"	"Sedhiou"	131
"Casamance"	"Sedhiou"	132
"Casamance"	"Sedhiou"	133
"Casamance"	"Sedhiou"	134
"Casamance"	"Sedhiou"	135
"Casamance"	"Sedhiou"	136
"Casamance"	"Sedhiou"	137
"Casamance"	"Sedhiou"	138
"Casamance"	"Sedhiou"	139
"Vallée du Fleuve Sénégal"	"St-Louis"	140
"Vallée du Fleuve Sénégal"	"St-Louis"	141
"Vallée du Fleuve Sénégal"	"St-Louis"	142
